,img,explanation
346,08741.png,"this meme is offensive because it suggests that men should not show affection for each other, which is not true."
347,86103.png,this meme is offensive because it promotes negative and harmful stereotypes about african americans.
348,62805.png,this meme is considered offensive because it promotes negative stereotypes about people who are muslim and suggests that all muslims are violent or dangerous and amercan are far superior than muslims.
349,31076.png,"this meme could be considered offensive or inappropriate, as it references the nazi party, which was an extremist, authoritarian, and racist political group."
350,67420.png,"this meme is offensive because it promotes negative stereotypes about indigenous australian people, suggesting that they are uncivilized and barbaric."
351,92381.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices against jewish and trivializes the holocaust.
352,48623.png,"this meme is considered offensive because it promotes negative stereotypes about feminist women, suggesting they are dirty."
353,10835.png,"this meme is offensive because it makes light of a serious subject, and could be considered disrespectful or insensitive to victims of holocaust."
354,86701.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent, uncivilized, and untrustworthy."
355,26947.png,"this meme is considered offensive because it promotes racism, xenophobia, and discrimination towards people of african descent."
356,24931.png,"this meme is considered offensive because it suggests british people are incompetent , which is not true."
357,52790.png,this meme is considered offensive because it promotes negative and harmful stereotypes about women and promotes fat shaming.
358,47215.png,this meme is considered offensive because it uses homophobic language and promotes homophobia.
359,03421.png,this meme is offensive because it glorifies gun violence in school.
360,54023.png,this meme is considered offensive because it promotes negative stereotypes about lgbt people.
361,23096.png,this meme is considered offensive because it promotes stereotypes and negative attitudes towards people who are black.
362,20184.png,this meme is considered offensive because it promotes negative and harmful stereotypes about women comparing them with goat.
363,16895.png,this meme is offensive because it promotes sexism and misogyny and stereotype about muslim men.
364,23794.png,"this meme is offensive because it promotes harmful stereotypes about jewish people, making light of the death of six million jews in the holocaust."
365,57236.png,this meme is considered offensive because it promotes hatred against muslims by suggesting they are violent.
366,57840.png,this meme is considered offensive because it promotes transphobia and mocks people who are transgender.
367,59410.png,this meme is considered offensive because it promotes racism by comparing black child with chimpanzee.
368,13806.png,"this meme is not necessarily considered offensive on its own, but it could be seen as promoting a stereotype."
369,26709.png,this meme is considered offensive because it promotes negative stereotypes about people who are black and suggests that they are unintelligent or uneducated.
370,68374.png,this meme is extremely offensive because it promotes racism against black people.
371,57064.png,this meme is considered offensive because it promotes negative stereotypes about transgender people and mental illness.
372,51804.png,this meme is considered offensive because it promotes negative stereotypes about people who are jewish and trivializes holocaust.
373,31409.png,this meme is considered offensive because it promotes hate and violence towards people who are muslim.
374,83650.png,"this meme is offensive because it promotes a number of harmful stereotypes and prejudices against muslims, suggesting they are violent."
375,29084.png,"this meme is offensive because it promotes harmful stereotypes about africans, suggesting that they are violent and warlike."
376,62758.png,"this meme is offensive because it promotes a harmful stereotype about sikhs, suggesting that they are frequently confused with muslims and are associated with the 9/11 attacks."
377,89732.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices about refugees suggesting they are primary reason behind homelessness of many people in newzealand.
378,27843.png,this meme is considered offensive because it makes light of a serious topic and stereotypes people who are transgender.
379,82510.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
380,97365.png,"this meme is offensive because it promotes harmful stereotypes about men, suggesting that they are potential rapists."
381,89412.png,this meme is considered offensive because it promotes islamophobia and stereotypes all muslims as violent.
382,21053.png,this meme is considered offensive because it makes light of a serious subject (rape and sexual assault) and stereotypes all muslims as violent and sexually pervert.
383,76093.png,this meme is offensive because it promotes islamophobia and suggests that all muslims are violent.
384,04529.png,"this meme is offensive because it mocks muslims by showing a picture of a pig, which is prohibited to be shown in muslim community."
385,34196.png,this meme is considered offensive because it promotes islamophobia by implying that all muslims are violent and that islam encourages sexual attraction towards goat.
386,01649.png,"this meme is offensive because it suggests that all black people are violent and threatening, which is not accurate."
387,59862.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and irrational."
388,94687.png,"this meme is considered offensive because it promotes racism, specifically by implying that all black people look the same and that it is impossible to spell the word ""rape"" without the word ""ape""."
389,42063.png,the suggestion that a nun could be impregnated by having the altar boy shit into her pussy is offensive because it promotes disrespect and disgust towards nuns.
390,74583.png,this meme is offensive because it promotes hateful and harmful stereotypes about jewish people and women.
391,90513.png,this meme is considered offensive because it promotes violence against muslims and suggests muslims as some inferior creatures.
392,42379.png,this meme is offensive because it compares women killing a cockroach to hitler killing 7 million jew thus trivializing holocaust.
393,83427.png,this meme is considered offensive because it promotes stereotypes and negative attitudes towards people who are lgbt. This is using sarcasm to implicitly spread hatred towards lgbt people.
394,43295.png,this meme is considered offensive because it promotes racism about black people.
395,39472.png,this meme is offensive because it promotes islamophobia and suggests that people who are concerned about islamophobia are not truly american.
396,78925.png,"this meme is offensive because it promotes harmful stereotypes about transgender people, suggesting that they are somehow less deserving of rights and respect than cisgender people."
397,5000.png,End of index
398,65178.png,"this meme is offensive because it suggests that the united states is for white people only, which is not accurate."
399,32896.png,"this meme is offensive because it suggests that hunting and killing illegal aliens is acceptable, which is not accurate."
400,18497.png,this meme is considered offensive because it makes light of eating disorders and body dysmorphia.
401,35716.png,this meme is offensive because it suggests that it is unacceptable to be in a relationship with lgbt people.
402,74390.png," this meme is offensive because it promotes a harmful stereotype about jews, suggesting that they are racist and violent."
403,09624.png, this meme is offensive because it  mocks dead people in army uniform in harsh language.
404,07539.png,this meme is offensive because it associates twerking with drunk people and that twerking is associated with rural people in the USA.
405,48925.png,this meme is offensive because it tries to convey god created women to do the dishes and other household works.
406,93572.png," this meme is offensive because it promotes harmful stereotypes about refugees, suggesting that they are dangerous and threatening."
407,02876.png, this meme is offensive because it is disrespectful towards disabled people and possibly towards a chef or a women.
408,21706.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are dirty and disgusting. "
409,06319.png,this meme is offensive because it makes light of the 9/11 incident.
410,58136.png,"this meme is offensive because it suggests that all white people are racist, which is not accurate."
411,83429.png,this meme is considered offensive because it promotes transphobia and implies that being transgender is a mental illness.
412,51726.png,this meme is considered offensive because it promotes negative stereotypes about african people.
413,14087.png,this meme is considered offensive because it promotes negative stereotypes about people who are muslim.
414,82943.png,this meme is considered offensive because it mocks blind people.
415,42897.png,this meme is considered offensive because it violently mocks any person with dark sense of humor.
416,51086.png, this meme is considered offensive because it promotes racism against japanese people.
417,16048.png,this meme is offensive because it promotes harmful stereotypes about immigrants and people of color.
418,49685.png, this meme is considered offensive because it trivializes mental disorders and lgbtq people and suggests that they are something to laugh about. 
419,32540.png,this meme is considered offensive because it makes light of holocaust one of the most horrific events in human history.
420,01235.png,this meme is offensive because it suggests muslim men are pervert and are sexually attracted to goat.
421,52863.png,this meme is considered offensive because it promotes divorce and implies that divorced people are no longer related.
422,78260.png,"this meme is offensive because it promotes a harmful stereotype about muslim women, suggesting that they are oppressed and should be banned."
423,86250.png,this meme is considered offensive because it makes light of and stereotypes transgender people.
424,47096.png,this meme is considered offensive because it promotes anti-semitism.
425,45603.png,"this meme is considered offensive because it suggests that men fight over beer, which is not accurate."
426,52386.png,"this meme is offensive because it promotes negative and harmful stereotypes about black women, that they possess dual characteristics depending on who are they with, white or black men."
427,43217.png,this meme is considered offensive because it promotes negative stereotypes about people who are black and suggests that they were uneducated and stupid.
428,04791.png,this meme is offensive because it suggests muslim men are sexually pervert and all they want is sexual contact.
429,67980.png,"this meme is offensive because it suggests that white people are privileged and do not have to work hard to succeed, which is not accurate."
430,94078.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and threatening."
431,13548.png,this meme is considered offensive because it promotes negative stereotypes about white women.
432,35781.png,"this meme is considered offensive because it promotes steretotype against asian people, suggesting they all look the same."
433,43920.png,this meme is considered offensive because it promotes misinformation about autism and mocks freddie mercury and his band queen.
434,59832.png,this meme is considered offensive because it perpetuates negative stereotypes about african-americans and suggests that they are less intelligent or trustworthy than other people.
435,30692.png,this meme is considered offensive because it promotes a stereotype about people with psychic abilities.
436,81079.png,this meme is considered offensive because it promotes domestic violence and compares woman with domestic appliances.
437,59601.png,"this meme is offensive because it promotes a number of harmful stereotypes and prejudices against muslims, suggesting they are sexually pervert."
438,70592.png,this meme is considered offensive because it promotes negative stereotypes about transgender women.
439,78492.png,this meme is considered offensive because it makes light of police brutality against people of black color.
440,83914.png,"this meme is offensive because it suggests that all obama voters are chimpanzees, which is not accurate."
441,40756.png,"this meme is offensive because it suggests that native americans were wiped out or exterminated, which is not supported by the facts."
442,61932.png,"this meme is offensive because it suggests that feminist literature is only about cooking, and that feminists only care about cooking."
443,08695.png,this meme is offensive because it suggests that all muslim people are incompetent and unreliable and they are less worthy of respect.
444,39051.png,"this meme is offensive because it promotes harmful stereotypes about women, suggesting that they are irrational, overly emotional, and unable to think clearly."
445,81203.png,"this meme is offensive because it promotes harmful stereotypes about nuns, suggesting that they are sexual predators who target muslim men."
446,86031.png,this meme is considered offensive because it promotes negative stereotypes about women suggesting they only wash dishes.
447,82367.png,this meme is offensive because it promotes rape culture and victim blaming.
448,69012.png,"this meme is considered offensive because it promotes violence, specifically gun violence."
449,73091.png,"this meme is highly offensive because it promotes a number of harmful stereotypes and prejudices against muslim people, suggesting they believe in sexual slavery and child bribes."
450,12490.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are violent and willing to kill innocent people."
451,67298.png,"this meme is offensive because it uses picture of michelle obama to suggest that transgender people are deceptive or deceptive about their gender identity, which is not accurate."
452,15043.png,this meme is considered offensive because it promotes a negative and stigmatizing stereotype about people with autism.
453,03472.png,"this meme is offensive because it suggests that black women should not get married, and that they should not raise children and they sale their children, which is not true."
454,29438.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices about israel suggesting they kill innocent people.
455,79846.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices against jews suggesting they are responsible for lots of mass murder in its history.
456,20867.png,this meme is offensive because it promotes islamophobia and suggests that all muslims are sexual predators.
457,42105.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices about muslims suggesting they are violent.
458,65073.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices against jews and americans.
459,19537.png,this meme is considered offensive because it promotes anti-semitism.
460,21453.png,this meme is considered offensive because it promotes homophobia by implying that gay pride events are dangerous or unpleasant.
461,34897.png,this meme is considered offensive because it makes light of special needs women and suggests that they are sexual objects.
462,26835.png,this meme is offensive because it promotes hatred and prejudice against african americans by comparing them with chimpanzee.
463,49120.png,this meme is considered offensive because it promotes rape culture and victim blaming.
464,67541.png,this meme can be considered offensive but the reason is not clear.
465,67581.png,this meme is considered offensive because it promotes racism by implying that white people are racist and that people of color are racist towards white people.
466,14829.png,this meme is considered offensive because it promotes negative attitudes towards people who are lgbtq+.
467,16297.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and stupid."
468,12034.png,this meme is considered offensive because it makes light of prison violence and inmate abuse and suggests black people are better in prison.
469,71920.png,this meme is considered offensive because it promotes racism by showing a police officer finding a black guy as the criminal.
470,67438.png,this meme is offensive because it promotes racism towards black people.
471,70126.png,this meme is considered offensive because it promotes negative and harmful stereotypes about people who are transgender.
472,39156.png,"this meme is considered offensive because it promotes negative stereotypes about women, suggesting they can only cook and are suitable in kitchen."
473,89423.png,this meme is considered offensive because it uses derogatory language to promote violence or reckless behavior.
474,26438.png,this meme is offensive because it promotes sexism and suggests that girls are inherently worse than boys at sports.
475,47920.png,"this meme is considered offensive because it promotes violence towards children, especially who requires special educations."
476,84521.png,this meme is offensive because it promotes racism against asians.
477,28973.png,this meme is offensive because it trivializes the experience of children who died in the holocaust.
478,68094.png,this meme is offensive because it promotes racism and stereotypes about black people.
479,01546.png,this meme is offensive because it suggests that all jews and muslims are anti-white and should be killed.
480,19268.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and willing to commit acts of terrorism."
481,36248.png,this meme is offensive because it promotes transphobia and suggests that people who are transgender are not truly women.
482,54927.png,this meme is considered offensive because it promotes negative stereotypes about people who are muslim.
483,31586.png,this meme is considered offensive because it promotes theft and burglary during the holiday season.
484,27563.png,"this meme is offensive because it promotes harmful stereotypes about black people, suggesting that they are racist and unwilling to hire white people for jobs."
485,73164.png, this meme is considered offensive because it promotes sexual harassment and objectification of women.
486,19503.png, this meme is considered offensive because it highlights white people make fake promises to exploit black people.
487,83024.png,this meme is offensive because it promotes negative stereotypes about women. 
488,69402.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
489,10453.png,"this meme is offensive because it promotes harmful stereotypes about men, suggesting that they are all pigs and that women are equal to them. "
490,92437.png,this meme is considered offensive because it promotes negative stereotypes about children. 
491,21309.png,this meme is considered offensive because it promotes violence against police officers.
492,36025.png,"this meme is considered offensive because it promotes negative stereotypes about people who are gay, lesbian, bisexual, or transgender (lgbt).   Edited Reference : "
493,16723.png, this meme is considered offensive because it promotes nazi ideology and stereotypes. 
494,21637.png, this meme is considered offensive because it trivializes the holocaust and the suffering of millions of people.
495,70183.png,this meme is considered offensive because it promotes and associates African people with violence. 
496,79406.png, this meme is considered offensive because it promotes negative stereotypes about people who are black and about people who are rape victims. 
497,80537.png,this meme is considered offensive because it promotes incestuous relationships.
498,18045.png,this meme is considered offensive because it makes fun of people with intellectual disabilities.
499,46520.png,"this meme is considered offensive because it promotes racism, xenophobia, and discrimination towards people of asian descent. "
500,92140.png,this meme is offensive because it promotes hatred and prejudice against jews.
501,08934.png,this meme is offensive because it suggests that all white men are killers.
502,59342.png,"this meme is considered offensive because it promotes hate and violence towards people who are lesbian, gay, bisexual, or transgender (lgbt). "
503,03479.png,"this meme is considered offensive because it promotes hate and violence towards black people, referring them as dirt."
504,58196.png,this meme is considered offensive because it makes light of the holocaust and trivializes the experience of people who were killed during the holocaust.
505,21605.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and intolerant of jokes. "
506,58640.png,this meme is considered offensive because it promotes the use of nuclear weapons. 
507,85172.png,this meme is considered offensive because it promotes islamophobia by implying that all muslim women are oppressed and that their fathers sell them as slaves. 
508,38129.png,"this meme is considered offensive because it promotes anti-semitic stereotypes, and makes light of the situation faced by Jews during WW-II."
509,37615.png,this meme is offensive because it trivializes the holocaust and suggests that it is funny. 
510,84926.png,this meme is offensive because it suggests that all us presidents were white people expect mr. barack obama. 
511,35189.png, this meme is considered offensive because it promotes abortion and implies that it is an acceptable way to prevent a child from being born.
512,75402.png, this meme is considered offensive because it promotes anti-semitism and hatred towards jewish people. 
513,10398.png,this meme is offensive because it promotes hatred and prejudice against arabs.
514,40378.png, this meme is considered offensive because it promotes negative and harmful stereotypes about women. 
515,62705.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices about muslims. 
516,82756.png,"this meme is considered offensive because it promotes violence, hatred, and discrimination towards hindus. "
517,60578.png, this meme is considered offensive because it highlights that muslims are sexually attracted towards goats.
518,54290.png," this meme is offensive because it suggests that older, white, conservative men are gullible and ignorant, and that their opinions are not valid."
519,27810.png," this meme is considered offensive because it promotes racism, specifically by implying that the man in the meme is not racist because he has black tires and a color tv. "
520,17208.png," this meme is not necessarily offensive, but it could be considered inappropriate or distasteful in contexts of WW-II. "
521,79185.png, this meme is considered offensive because it promotes a negative stereotype about mechanics and their work. 
522,56193.png, this meme is offensive because it promotes cultural appropriation.
523,07458.png,this meme is offensive because it can be seen as a harmful remarks towards lgbt people.
524,67385.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
525,52349.png,this meme is considered offensive because it promotes racism by implying that all black people look like baboon.
526,59840.png,this meme is considered offensive because it promotes violence towards children using imagery of sick children.
527,90728.png,"this meme is offensive because it promotes harmful stereotypes about white men, suggesting that they are racist, sexist, and privileged."
528,39427.png,this meme is considered offensive because it promotes racism and stereotypes against white people.
529,80967.png,this meme is offensive because it promotes racism by suggesting that black people are intellectually inferior to white people.
530,64708.png,this meme is considered offensive because it is seen as a stereotype of black people as criminals.
531,20154.png,this meme is offensive because it promotes hatred and prejudice against native americans.
532,12068.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices against muslims.
533,16357.png,"this meme is considered offensive because it makes light of sexual assault and rape, and uses the derogatory term ""goat fucker"" to refer to muslims."
534,27069.png,"this meme is considered offensive because it promotes negative stereotypes about muslims, implicitly stereotyping all muslims as perverts."
535,53904.png,this meme is considered offensive because it shows that muslims are terrorists and sexually pervert.
536,64839.png,this meme is offensive because it promotes negative stereotypes about african americans by associating them with the ku klux klan.
537,26950.png,this meme is offensive because it promotes negative stereotypes about american patriotism and military service.
538,38145.png,this meme is offensive because it promotes misogyny and suggests that women should be submissive and obedient.
539,85690.png,"this meme is offensive because it makes light of and trivializes holocaust, one of the most horrific events in human history."
540,13675.png,this meme is considered offensive because it promotes negative stereotypes about women.
541,81027.png,"this meme is considered offensive because it promotes negative stereotypes about white people, suggesting they are privileged."
542,27534.png,this meme is offensive because it makes light of nazism.
543,04126.png,this meme is offensive because it makes light of holocaust.
544,29671.png,"this meme is offensive because it promotes a harmful stereotype about people who are black, suggesting that they are somehow inferior to other people."
545,98531.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
546,31058.png,"this meme is considered offensive because it promotes racism and violence against children, which is never acceptable."
547,49327.png,this meme is offensive because it promotes racism and stereotypes against women.
548,35894.png,"this meme is offensive because it promotes a harmful stereotype about black people, suggesting that they are less intelligent or capable than white people."
549,68739.png,"this meme is offensive because it promotes harmful stereotypes about white people, suggesting that they are all the same and interchangeable."
550,20693.png,this meme is considered offensive because it trivializes the horrors of the holocaust.
551,63185.png,this meme is considered offensive because it promotes negative stereotypes about people who are transgender.
552,15209.png,this meme is considered offensive because it promotes violence.
553,60257.png,this meme is offensive because it compares every woman as a coffee maker which is misogynous.
554,72984.png,this meme is considered offensive because it promotes violence against black people.
555,89142.png,"this meme is offensive because it suggests that hillary clinton is a lesbian, which is not supported by the facts."
556,59128.png,"this meme is offensive because it suggests that ilhan omar is not intelligent, implicitly suggested by the phrase 'shit for brains'."
557,14573.png,this meme is considered offensive because it trivializes and glorifies the atomic bombings of hiroshima and nagasaki during world war ii.
558,19653.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices against christians.
559,72386.png,this meme is considered offensive because it promotes islamophobia by implying that all muslims are violent or sexual predators.
560,98530.png,"this meme is offensive because it promotes a harmful stereotype about muslims, suggesting that they are unwelcome and unwelcomed in western countries."
561,87934.png,this meme is considered offensive because it implies that women are not capable of taking care of themselves or their families if the economy collapses.
562,64901.png,"this meme is considered offensive because it promotes negative stereotypes about michelle obama, comparing her with baboon."
563,61749.png,this meme is considered offensive because it promotes child abuse.
564,59238.png,"this meme is considered offensive because it promotes racism, bigotry, and hatred."
565,38741.png,this meme is offensive because it promotes racism against mexicans.
566,15920.png,this meme is considered offensive because it promotes negative stereotypes about people who are black and suggests that they are unintelligent or uneducated.
567,35408.png,"this meme is offensive because it makes light of the holocaust, one of the most horrific events in human history."
568,02561.png,this meme is offensive because it suggests that people who are american immigrants are dangerous and intimidating.
569,21047.png,this meme is considered offensive because it promotes negative stereotypes about people with disabilities.
570,52681.png,this meme is considered offensive because it promotes negative stereotypes about women.
571,43971.png,this meme is considered offensive because it promotes negative stereotypes about black people.
572,17453.png,"this meme is offensive because it promotes negative stereotypes about muslims, suggesting that they are violent, dangerous, and untrustworthy."
573,48971.png,this meme is considered offensive because it makes light of a serious subject (death) and could be considered offensive to people who have died from drug overdoses.
574,90614.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and willing to kill each other."
575,30487.png,this meme is highly offensive because it promotes a number of harmful stereotypes and prejudices against muslim.
576,97831.png,"this meme is considered offensive because it promotes negative stereotypes about women, materializing them."
577,58247.png,this meme is offensive because it promotes sexual objectification of women.
578,19406.png,this meme is offensive because it suggests that muslims are dangerous and pose a threat to national security.
579,98016.png,"this meme is considered offensive because it makes light of the black lives matter movement, which has been raising awareness about racial injustice and police brutality in the united states."
580,70864.png,this meme is considered offensive because it promotes negative stereotypes about people who are gay or lesbian.
581,83624.png,this meme is offensive because it promotes negative stereotypes about men.
582,53948.png,"this meme is offensive because it promotes a harmful stereotype about jews, suggesting that they are responsible for the 9/11 attacks."
583,42856.png,"this meme is considered offensive because it promotes racism, classism, and sexism."
584,68917.png,this meme is considered offensive because it promotes negative stereotypes about black people.
585,92064.png,this meme is offensive because it promotes a number of harmful stereotypes and prejudices against muslims.
586,86023.png,this meme is offensive because it promotes racism and prejudice against white people.
587,86024.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and willing to commit acts of terrorism."
588,54270.png,this meme is considered offensive because it shows woman are lazy and they negative attitude towards work.
589,89156.png,this meme is considered offensive because it promotes prejudice and discrimination towards people of middle eastern descent.
590,01943.png,this meme is offensive because it mocks blind people.
591,32980.png,"this meme is offensive because it promotes racism against people of mixed race, suggesting they are interbred of gorilla and rhino."
592,72094.png,"this meme is offensive because it makes light of holocaust, a serious and tragic event."
593,41873.png,this meme is offensive because it makes light of and trivializes the experience of native americans.
594,46580.png,this meme is considered offensive because it trivializes sexual harassment and assault.
595,69057.png,"this meme is offensive because it promotes harmful stereotypes about muslims, suggesting that they are violent and willing to blow up things."
596,37451.png,this meme is considered offensive because it promotes islamophobia by implying that all muslims are terrorists and that islam encourages them to blow up planes.
597,5000.png,End of index
